,pickup_cluster,lat,lon
0,2,20.15,86.8
1,2,19.78,86.75
2,2,19.68,86.73
3,2,18.56,86.33
4,2,17.33,85.9
5,2,16.1,85.46
6,2,14.87,85.04
7,2,14.77,85.0
8,2,13.71,84.63
9,2,12.56,84.24
10,2,11.41,83.84
11,2,10.26,83.45
12,2,10.17,83.42
13,2,9.07,83.06
14,2,7.87,82.66
15,2,6.68,82.27
16,2,5.48,81.88
17,2,5.38,81.85
18,2,4.26,81.59
19,2,3.03,81.31
20,2,1.8,81.04
21,2,0.57,80.76
22,2,0.47,80.73
23,2,-0.62,80.48
24,2,-1.8,80.19
25,2,-2.99,79.91
26,2,-4.17,79.63
27,2,-4.37,79.58
28,2,-5.37,79.33
29,2,-6.57,79.03
30,2,-7.77,78.72
31,2,-8.97,78.42
32,2,-9.17,78.37
33,2,-10.07,77.76
34,2,-11.11,77.01
35,2,-11.58,75.78
36,2,-12.05,74.55
37,2,-12.13,74.35
38,2,-12.7,73.41
39,2,-13.37,72.28
40,2,-14.05,71.14
41,2,-14.65,69.97
42,2,-14.73,69.65
43,2,-15.21,68.77
44,2,-15.86,67.6
45,2,-16.5,66.43
46,2,-17.14,65.25
47,2,-17.3,64.95
48,2,-17.75,64.11
49,2,-18.36,62.99
50,2,-18.96,61.87
51,6,-19.57,60.74
52,6,-19.77,60.37
53,6,-20.21,59.62
54,6,-20.86,58.49
55,6,-21.5,57.35
56,6,-21.91,56.09
57,6,-22.08,55.57
58,6,-22.37,54.93
59,6,-22.86,53.83
60,6,-23.35,52.73
61,6,-23.85,51.63
62,6,-24.05,51.17
63,6,-24.34,50.5
64,6,-24.85,49.35
65,6,-25.35,48.19
66,6,-25.86,47.03
67,6,-26.07,46.55
68,6,-26.39,45.79
69,6,-26.94,44.48
70,6,-27.49,43.16
71,6,-28.04,41.83
72,6,-28.32,41.17
73,6,-28.58,40.53
74,6,-29.09,39.25
75,6,-29.61,37.97
76,6,-30.13,36.67
77,6,-30.43,35.92
78,6,-30.66,35.36
79,6,-31.2,34.03
80,6,-31.74,32.7
81,6,-32.27,31.35
82,6,-32.63,30.45
83,6,-32.76,30.04
84,6,-33.16,28.81
85,6,-33.55,27.58
86,6,-33.89,26.32
87,6,-33.9,26.1
88,6,-34.05,25.75
89,6,-34.24,25.37
90,1,-34.56,24.11
91,1,-34.7,22.78
92,1,-34.87,21.45
93,1,-35.0,20.57
94,1,-35.06,20.07
95,1,-34.85,18.57
96,1,-34.46,17.16
97,1,-33.85,15.84
98,1,-33.35,14.75
99,1,-33.26,14.53
100,1,-32.72,13.21
101,1,-32.19,11.89
102,1,-31.65,10.58
103,1,-31.2,9.5
104,1,-31.13,9.32
105,1,-30.9,8.18
106,1,-30.77,7.01
107,1,-30.66,5.84
108,1,-30.57,4.87
109,1,-30.54,4.63
110,1,-30.37,3.2
111,1,-30.2,1.78
112,1,-30.02,0.35
113,1,-29.87,-0.95
114,1,-29.85,-1.07
115,1,-29.69,-2.51
116,1,-29.52,-3.96
117,1,-29.35,-5.4
118,1,-29.18,-6.83
119,1,-29.02,-8.26
120,1,-28.85,-9.68
121,4,-28.68,-11.1
122,4,-28.52,-12.52
123,4,-28.39,-13.89
124,4,-28.26,-15.27
125,4,-28.12,-16.65
126,4,-27.99,-18.02
127,4,-27.98,-18.13
128,4,-27.81,-19.39
129,4,-27.62,-20.77
130,4,-27.43,-22.14
131,4,-27.25,-23.51
132,4,-27.2,-23.85
133,4,-27.08,-24.82
134,4,-26.93,-26.12
135,4,-26.77,-27.41
136,4,-26.62,-28.7
137,4,-26.57,-29.13
138,4,-26.46,-30.02
139,4,-26.3,-31.35
140,4,-26.14,-32.67
141,4,-25.98,-34.0
142,4,-25.92,-34.55
143,4,-25.82,-35.35
144,4,-25.65,-36.71
145,4,-25.48,-38.08
146,4,-25.32,-39.44
147,4,-25.23,-40.12
148,4,-25.15,-40.76
149,4,-24.99,-42.03
150,4,-24.83,-43.31
151,4,-24.66,-44.58
152,4,-24.58,-45.22
153,4,-24.66,-45.87
154,4,-24.2,-46.4
155,4,-24.12,-46.37
156,4,-24.47,-46.32
157,4,-24.6,-45.83
158,4,-24.65,-45.59
159,4,-24.74,-45.11
160,4,-24.83,-44.63
161,4,-24.92,-44.14
162,4,-24.97,-43.9
163,4,-25.03,-43.54
164,4,-25.16,-42.81
165,4,-25.29,-42.08
166,4,-25.42,-41.35
167,4,-25.48,-40.98
168,4,-25.57,-40.57
169,4,-25.74,-39.75
170,4,-25.9,-38.93
171,4,-26.06,-38.11
172,4,-26.13,-37.7
173,4,-26.23,-37.13
174,4,-26.42,-36.0
175,4,-26.61,-34.86
176,4,-26.8,-33.72
177,4,-26.88,-33.25
178,4,-27.02,-32.5
179,4,-27.25,-31.2
180,4,-27.48,-29.9
181,4,-27.71,-28.6
182,4,-27.78,-28.17
183,4,-27.95,-27.26
184,4,-28.19,-25.89
185,4,-28.44,-24.52
186,4,-28.69,-23.14
187,4,-28.75,-22.8
188,4,-28.93,-21.76
189,4,-29.17,-20.38
190,4,-29.41,-18.99
191,4,-29.64,-17.6
192,4,-29.68,-17.37
193,4,-29.89,-16.24
194,4,-30.14,-14.89
