lat,lon,pickup_cluster
20.15,86.8,2
19.78,86.75,2
19.68,86.73,2
18.56,86.33,2
17.33,85.9,2
16.1,85.46,2
14.87,85.04,2
14.77,85,2
13.71,84.63,2
12.56,84.24,2
11.41,83.84,2
10.26,83.45,2
10.17,83.42,2
9.07,83.06,2
7.87,82.66,2
6.68,82.27,2
5.48,81.88,2
5.38,81.85,2
4.26,81.59,2
3.03,81.31,2
1.8,81.04,2
0.57,80.76,2
0.47,80.73,2
-0.62,80.48,2
-1.8,80.19,2
-2.99,79.91,2
-4.17,79.63,2
-4.37,79.58,2
-5.37,79.33,2
-6.57,79.03,2
-7.77,78.72,2
-8.97,78.42,2
-9.17,78.37,2
-10.07,77.76,2
-11.11,77.01,2
-11.58,75.78,2
-12.05,74.55,2
-12.13,74.35,2
-12.7,73.41,2
-13.37,72.28,2
-14.05,71.14,2
-14.65,69.97,2
-14.73,69.65,2
-15.21,68.77,2
-15.86,67.6,2
-16.5,66.43,2
-17.14,65.25,2
-17.3,64.95,2
-17.75,64.11,2
-18.36,62.99,2
-18.96,61.87,2
-19.57,60.74,6
-19.77,60.37,6
-20.21,59.62,6
-20.86,58.49,6
-21.5,57.35,6
-21.91,56.09,6
-22.08,55.57,6
-22.37,54.93,6
-22.86,53.83,6
-23.35,52.73,6
-23.85,51.63,6
-24.05,51.17,6
-24.34,50.5,6
-24.85,49.35,6
-25.35,48.19,6
-25.86,47.03,6
-26.07,46.55,6
-26.39,45.79,6
-26.94,44.48,6
-27.49,43.16,6
-28.04,41.83,6
-28.32,41.17,6
-28.58,40.53,6
-29.09,39.25,6
-29.61,37.97,6
-30.13,36.67,6
-30.43,35.92,6
-30.66,35.36,6
-31.2,34.03,6
-31.74,32.7,6
-32.27,31.35,6
-32.63,30.45,6
-32.76,30.04,6
-33.16,28.81,6
-33.55,27.58,6
-33.89,26.32,6
-33.9,26.1,6
-34.05,25.75,6
-34.24,25.37,6
-34.56,24.11,1
-34.7,22.78,1
-34.87,21.45,1
-35,20.57,1
-35.06,20.07,1
-34.85,18.57,1
-34.46,17.16,1
-33.85,15.84,1
-33.35,14.75,1
-33.26,14.53,1
-32.72,13.21,1
-32.19,11.89,1
-31.65,10.58,1
-31.2,9.5,1
-31.13,9.32,1
-30.9,8.18,1
-30.77,7.01,1
-30.66,5.84,1
-30.57,4.87,1
-30.54,4.63,1
-30.37,3.2,1
-30.2,1.78,1
-30.02,0.35,1
-29.87,-0.95,1
-29.85,-1.07,1
-29.69,-2.51,1
-29.52,-3.96,1
-29.35,-5.4,1
-29.18,-6.83,1
-29.02,-8.26,1
-28.85,-9.68,1
-28.68,-11.1,4
-28.52,-12.52,4
-28.39,-13.89,4
-28.26,-15.27,4
-28.12,-16.65,4
-27.99,-18.02,4
-27.98,-18.13,4
-27.81,-19.39,4
-27.62,-20.77,4
-27.43,-22.14,4
-27.25,-23.51,4
-27.2,-23.85,4
-27.08,-24.82,4
-26.93,-26.12,4
-26.77,-27.41,4
-26.62,-28.7,4
-26.57,-29.13,4
-26.46,-30.02,4
-26.3,-31.35,4
-26.14,-32.67,4
-25.98,-34,4
-25.92,-34.55,4
-25.82,-35.35,4
-25.65,-36.71,4
-25.48,-38.08,4
-25.32,-39.44,4
-25.23,-40.12,4
-25.15,-40.76,4
-24.99,-42.03,4
-24.83,-43.31,4
-24.66,-44.58,4
-24.58,-45.22,4
-24.66,-45.87,4
-24.2,-46.4,4
-24.12,-46.37,4
-24.47,-46.32,4
-24.6,-45.83,4
-24.65,-45.59,4
-24.74,-45.11,4
-24.83,-44.63,4
-24.92,-44.14,4
-24.97,-43.9,4
-25.03,-43.54,4
-25.16,-42.81,4
-25.29,-42.08,4
-25.42,-41.35,4
-25.48,-40.98,4
-25.57,-40.57,4
-25.74,-39.75,4
-25.9,-38.93,4
-26.06,-38.11,4
-26.13,-37.7,4
-26.23,-37.13,4
-26.42,-36,4
-26.61,-34.86,4
-26.8,-33.72,4
-26.88,-33.25,4
-27.02,-32.5,4
-27.25,-31.2,4
-27.48,-29.9,4
-27.71,-28.6,4
-27.78,-28.17,4
-27.95,-27.26,4
-28.19,-25.89,4
-28.44,-24.52,4
-28.69,-23.14,4
-28.75,-22.8,4
-28.93,-21.76,4
-29.17,-20.38,4
-29.41,-18.99,4
-29.64,-17.6,4
-29.68,-17.37,4
-29.89,-16.24,4
-30.14,-14.89,4
-30.4,-13.54,4
-30.65,-12.18,4
-30.63,-11.95,4
-30.83,-10.82,1
-31.07,-9.45,1
-31.31,-8.08,1
-31.54,-6.71,1
-31.58,-6.48,1
-31.75,-5.32,1
-31.94,-3.91,1
-32.14,-2.51,1
-32.33,-1.1,1
-32.35,-0.98,1
-32.53,0.31,1
-32.73,1.72,1
-32.92,3.13,1
-33.12,4.55,1
-33.31,5.95,1
-33.5,7.35,1
-33.69,8.76,1
-33.87,10.05,1
-33.88,10.17,1
-34.09,11.64,1
-34.29,13.12,1
-34.5,14.6,1
-34.67,15.83,1
-34.7,16.09,1
-34.88,17.6,1
-35.07,19.12,1
-35.18,20.65,1
-35.08,21.8,1
-35.09,22.14,1
-35.05,23.5,1
-35.04,24.87,1
-35.04,26.24,6
-35.03,27.27,6
-35.03,27.63,6
-35.01,29.07,6
-34.84,30.48,6
-34.38,31.82,6
-34.03,32.8,6
-33.92,33.14,6
-33.47,34.51,6
-33,35.87,6
-32.51,37.21,6
-32.18,38.08,6
-32.01,38.52,6
-31.49,39.8,6
-30.96,41.07,6
-30.42,42.33,6
-30.1,43.05,6
-29.88,43.55,6
-29.33,44.75,6
-28.78,45.94,6
-28.22,47.11,6
-27.93,47.68,6
-27.66,48.23,6
-27.11,49.32,6
-26.55,50.4,6
-25.99,51.46,6
-25.75,51.9,6
-25.39,52.55,6
-24.76,53.65,6
-24.12,54.74,6
-23.48,55.81,6
-23.27,56.17,6
-22.87,56.85,6
-22.28,57.86,6
-21.68,58.87,6
-21.07,59.87,6
-20.87,60.2,6
-20.46,60.8,6
-19.85,61.69,6
-19.24,62.57,2
-18.62,63.44,2
-18.42,63.73,2
-18.03,64.3,2
-17.44,65.15,2
-16.85,65.99,2
-16.25,66.82,2
-16.1,67.03,2
-15.67,67.64,2
-15.09,68.46,2
-14.5,69.26,2
-13.92,70.07,2
-13.82,70.2,2
-13.26,70.94,2
-12.59,71.81,2
-11.92,72.69,2
-11.24,73.56,2
-11.18,73.63,2
-10.55,74.44,2
-9.87,75.32,2
-9.18,76.19,2
-8.48,77.07,2
-7.71,78.04,2
-6.94,79.01,2
-6.16,79.98,2
-5.45,80.87,2
-5.38,80.95,2
-4.58,81.94,2
-3.77,82.93,2
-2.96,83.91,2
-2.22,84.82,2
-2.15,84.9,2
-1.37,85.84,2
-0.6,86.78,2
0.18,87.72,2
0.9,88.58,2
0.96,88.66,2
1.7,89.57,2
2.44,90.48,2
3.18,91.39,2
3.8,92.15,2
3.93,92.31,2
4.73,93.3,2
5.53,94.29,5
6.22,95.3,5
5.92,96.2,5
5.87,96.51,5
5.67,97.75,5
5.07,98.77,5
4.17,99.64,5
3.57,100.22,5
3.28,100.53,5
2.49,101.52,5
1.75,102.55,5
1.27,103.32,5
1.37,104.4,5
2.11,104.79,5
2.9,105.13,5
3.3,105.3,5
4.42,105.9,5
5.29,106.85,5
6.17,107.81,5
6.75,108.45,5
7.03,108.76,5
7.93,109.6,5
9.07,110.13,5
10.2,110.67,5
10.95,111.03,5
11.34,111.21,5
12.51,111.73,5
13.67,112.26,0
14.84,112.79,0
15.62,113.15,0
16.01,113.33,0
17,114.2,0
17.93,115.16,0
18.86,116.12,0
19.48,116.77,0
19.79,117.1,0
20.71,118.12,0
21.63,119.13,0
22.67,119.98,0
23.55,119.92,0
24,119.94,0
25.18,120.59,0
26.33,121.35,0
27.48,122.12,0
28.25,122.63,0
28.64,122.84,0
29.81,123.47,0
30.98,124.1,0
32.26,124.01,0
33.12,123.92,0
33.54,123.92,0
34.82,123.93,0
36.09,123.93,0
37.26,123.49,0
37.87,122.77,0
38.08,122.32,0
38.49,120.86,0
38,120.13,0
38.82,121.77,0
37.92,122.65,0
36.84,123.69,0
36,124.07,0
35.56,124.26,0
34.25,124.82,0
33.7,126.11,0
34.07,127.69,0
34.43,128.72,0
34.7,129.15,0
35.52,130.47,0
36.33,131.8,0
37.14,133.14,0
37.55,133.82,0
37.96,134.5,0
38.77,135.87,0
39.59,137.25,8
40.41,138.66,8
40.82,139.37,8
41.22,140.09,8
41.67,141.74,8
41.85,143.52,8
42.43,145.18,8
42.62,145.73,8
43,146.86,8
43.56,148.57,8
44.09,150.31,8
44.59,152.09,8
44.75,152.67,8
45.09,153.85,8
45.57,155.65,8
46.02,157.47,8
46.44,159.33,8
46.57,159.93,8
46.69,160.74,8
46.76,161.15,8
47.04,162.8,8
47.29,164.47,8
47.52,166.15,8
47.55,166.42,8
47.73,167.82,8
47.93,169.51,8
48.1,171.22,8
48.25,172.94,8
48.27,173.2,8
48.39,174.66,8
48.51,176.43,8
48.6,178.2,8
48.67,179.95,8
48.65,-178.33,3
